"","item_name","items_sold","price","gross_sales","item_var","date","source"
"1","Rum Coffee",1,37,37,"750 mL",2025-01-01,"Inferno"
"2","Shot",2,7,14,"Regular",2025-01-01,"Inferno"
"3","Coke",3,2,6,"Coke",2025-01-01,"Inferno"
"4","Sprite",5,2,10,"Sprite",2025-01-01,"Inferno"
"5","Sticky Hands IPA",2,7,14,"Sticky Hands - Dbl. IPA",2025-01-01,"Inferno"
"6","F* Cancer IPA",5,7,35,"F* Cancer IPA",2025-01-01,"Inferno"
"7","Iced Tea",1,4,4,"Unsweetened",2025-01-01,"Inferno"
"8","South Coast Cranberry",1,7,7,"South Coast Cranberry",2025-01-01,"Inferno"
"9","Blueberry Lemon Drop",4,14,56,"Regular",2025-01-01,"Inferno"
"10","Old Havana",1,15,15,"Regular",2025-01-01,"Inferno"
"11","Aleienate Ale",1,5,5,"Alelienate Ale",2025-01-01,"Inferno"
"12","Devil's Margarita",1,12,12,"Regular",2025-01-01,"Inferno"
"13","NA Sunset",1,6,6,"Regular",2025-01-01,"Inferno"
"14","Total Domination IPA",2,7,14,"Total Domination - IPA",2025-01-01,"Inferno"
"15","NA Lavendar Lemon Drop",1,6,6,"Regular",2025-01-01,"Inferno"
"16","Shot (Vodka)",1,7,7,NA,2025-01-01,"Inferno"
"17","Olde Dawg Bramble",1,14,14,"Regular",2025-01-01,"Inferno"
"18","Lemonade",1,3,3,"Regular",2025-01-01,"Inferno"
"19","Blackberry Inferno",1,60,60,"750 mL",2025-01-02,"Inferno"
"20","NW Gold Lager",2,7,14,"NW Gold - Light Lager",2025-01-02,"Inferno"
"21","Aleienation Ale",1,5,5,"Alelienate Ale",2025-01-02,"Inferno"
"22","Reisling",2,4,8,"Riesling",2025-01-02,"Inferno"
"23","Divine Margarita",3,12,36,"Regular",2025-01-02,"Inferno"
"24","Kevin ""Big""Boss Ale",1,5,5,"Kevin ""Big"" Boss Ale",2025-01-02,"Inferno"
"25","Shot (Olde Dawg and club soda)",2,7,14,"Regular",2025-01-02,"Inferno"
"26","Sprite",2,2,4,"Sprite",2025-01-02,"Inferno"
"27","Lemonade",1,3,3,"Regular",2025-01-02,"Inferno"
"28","Agave Inferno",2,50,100,"750 mL",2025-01-03,"Inferno"
"29","Amaro Winter",1,48,48,"750 mL",2025-01-03,"Inferno"
"30","Diet Coke",1,2,2,"Diet Coke",2025-01-03,"Inferno"
"31","Total Domination IPA",7,7,49,"Total Domination - IPA",2025-01-03,"Inferno"
"32","F* Cancer IPA",4,7,28,"F* Cancer IPA",2025-01-03,"Inferno"
"33","$8 cocktail (Vodka soda)",1,8,8,"$8.00 cocktail",2025-01-03,"Inferno"
